ID_Pedido,Data_Pedido,Categoria,Região,Forma_Pagamento,Quantidade,Preço_Unitário,Desconto_Pct,Frete,Prazo_Entrega_Dias,Valor_Total,Situação_Anormal
1001,2026-01-03,Eletrônicos,Sudeste,Cartão de crédito,1,79.9,0.0,0.0,2.0,79.9,Normal
1002,2026-01-05,Casa,Nordeste,PIX,2,139.9,0.05,12.9,5.0,278.71,Normal
1003,2026-01-07,Moda,Norte,Boleto,3,269.9,0.1,18.5,8.0,747.2299999999999,Normal
1004,2026-01-09,Beleza,Sul,Carteira digital,4,89.9,0.15,24.9,11.0,330.56,Normal
1005,2026-01-11,Esportes,Centro-Oeste,Cartão de crédito,5,189.9,0.0,0.0,4.0,949.5,Normal
1006,2026-01-13,Livros,Sudeste,PIX,6,49.9,0.05,12.9,7.0,297.3299999999999,Normal
1007,2026-01-15,Eletrônicos,Nordeste,Boleto,1,99.9,0.1,18.5,10.0,108.41000000000001,Normal
1008,2026-01-17,Casa,Norte,Carteira digital,2,159.9,0.15,24.9,3.0,296.72999999999996,Normal
1009,2026-01-19,Moda,Sul,Cartão de crédito,3,249.9,0.0,0.0,6.0,749.7,Normal
1010,2026-01-21,Beleza,Centro-Oeste,PIX,4,69.9,0.05,12.9,9.0,278.52,Normal
1011,2026-01-23,Esportes,Sudeste,Boleto,5,209.9,0.1,18.5,2.0,963.0500000000001,Normal
1012,2026-01-25,Livros,Nordeste,Carteira digital,40,69.9,0.15,24.9,5.0,2401.5,Anomalia: quantidade extrema
1013,2026-01-27,Eletrônicos,Norte,Cartão de crédito,1,79.9,0.0,0.0,8.0,79.9,Normal
1014,2026-01-29,Casa,Sul,PIX,2,139.9,0.05,12.9,11.0,278.71,Normal
1015,2026-01-31,Moda,Centro-Oeste,Boleto,3,269.9,0.1,18.5,4.0,747.2299999999999,Normal
1016,2026-02-02,Beleza,Sudeste,Carteira digital,4,89.9,0.15,24.9,7.0,330.56,Normal
1017,2026-02-04,Esportes,Nordeste,Cartão de crédito,5,189.9,0.0,0.0,10.0,949.5,Normal
1018,2026-02-06,Livros,Norte,PIX,6,49.9,0.05,12.9,3.0,297.3299999999999,Normal
